,Unnamed: 0,Replicates,Full model power,SD(Full model power),False discoveries,Full model FDR,SD(Full model FDR),Time,Active,name,signal,n,p,s,rho
0,ModelX Knockoffs with Sigma (full),100,0.401666666667,0.020614854407,2.81,0.126670513029,0.0130085639033,29.473575511,14.86,AR,3.5,1000,2000,30,0.0
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.299333333333,0.00865357986295,0.98,0.0924866048984,0.0091452155955,2.32637909174,17.02,AR,3.5,1000,2000,30,0.0
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.419,0.0110680220054,3.03,0.183476317537,0.00954572317949,5.87426538467,44.69,AR,3.5,1000,2000,30,0.0
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.424666666667,0.0117909569869,3.45,0.180715470108,0.0131119172558,8.73107852221,61.71,AR,3.5,1000,2000,30,0.0
4,"Randomized LASSO + theory, smaller noise (full)",100,0.296333333333,0.00945039681707,1.1,0.103550768676,0.00926165844337,2.83573817253,17.7,AR,3.5,1000,2000,30,0.0
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.461666666667,0.00965372697172,6.22,0.30137255056,0.0100516002168,6.83738785982,44.53,AR,3.5,1000,2000,30,0.0
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.483333333333,0.0146931578937,11.83,0.366763740797,0.0178459022802,10.0565688729,62.06,AR,3.5,1000,2000,30,0.0
7,Lee et al. + theory (selected),100,0.223333333333,0.009,0.18,0.0306240981241,0.00875990264938,0.556417844296,13.39,AR,3.5,1000,2000,30,0.0
8,"Lee et al. + theory, aggressive (selected)",100,0.273333333333,0.0146515073172,0.78,0.0724952043141,0.0102170685256,0.503795957565,29.46,AR,3.5,1000,2000,30,0.0
9,Lee et al. + 1SE (selected),100,0.242666666667,0.0147804675915,0.93,0.0690537571363,0.0137878965812,0.510286026001,41.15,AR,3.5,1000,2000,30,0.0
10,Lee et al. + CV (selected),100,0.0493333333333,0.0111900749675,2.96,0.0841314122308,0.0220662288185,0.584115893841,137.58,AR,3.5,1000,2000,30,0.0
0,ModelX Knockoffs with Sigma (full),100,0.377333333333,0.0213222888077,2.97,0.134620161027,0.013413848929,31.5968505549,14.29,AR,3.5,1000,2000,30,0.25
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.290666666667,0.0090563666985,1.13,0.113700303781,0.0116039818049,2.57613926411,17.32,AR,3.5,1000,2000,30,0.25
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.397333333333,0.0119133911582,2.85,0.183732260775,0.0115661106762,6.40179460287,44.87,AR,3.5,1000,2000,30,0.25
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.389666666667,0.0128728396246,3.37,0.198162692691,0.0132558838241,7.82995013952,53.46,AR,3.5,1000,2000,30,0.25
4,"Randomized LASSO + theory, smaller noise (full)",100,0.281333333333,0.00848947060252,1.52,0.146670456994,0.0104774940463,3.01887394667,17.33,AR,3.5,1000,2000,30,0.25
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.454,0.0106330720971,6.76,0.325218612978,0.0103060206084,7.26040050268,44.4,AR,3.5,1000,2000,30,0.25
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.461666666667,0.0156302768867,9.29,0.34585023784,0.0161173639478,8.71265638113,52.27,AR,3.5,1000,2000,30,0.25
7,Lee et al. + theory (selected),100,0.210666666667,0.00798442929151,0.3,0.0443798423798,0.00820612752716,0.575362977982,13.46,AR,3.5,1000,2000,30,0.25
8,"Lee et al. + theory, aggressive (selected)",100,0.283,0.0134039380615,0.97,0.0979290366496,0.0138337097217,0.525346124172,29.82,AR,3.5,1000,2000,30,0.25
9,Lee et al. + 1SE (selected),100,0.256,0.0148987695241,1.42,0.100115838556,0.0150406646713,0.536166403294,34.98,AR,3.5,1000,2000,30,0.25
10,Lee et al. + CV (selected),100,0.05,0.0126007054476,2.88,0.0851418689923,0.0216953703199,0.590416109562,123.68,AR,3.5,1000,2000,30,0.25
0,ModelX Knockoffs with Sigma (full),100,0.275333333333,0.0206269510862,2.13,0.11791265245,0.0130260368985,29.6759206915,10.39,AR,3.5,1000,2000,30,0.5
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.266666666667,0.0086922698736,1.49,0.160715518958,0.0135171394428,2.50396076202,18.53,AR,3.5,1000,2000,30,0.5
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.328333333333,0.0103856204009,2.94,0.217718154051,0.0120754102196,5.99520454168,45.56,AR,3.5,1000,2000,30,0.5
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.332333333333,0.0115321290315,2.76,0.200552997642,0.0125603405308,7.98824087858,58.58,AR,3.5,1000,2000,30,0.5
4,"Randomized LASSO + theory, smaller noise (full)",100,0.271,0.00719034846938,2.03,0.190448068272,0.0128037488203,2.9055887866,18.61,AR,3.5,1000,2000,30,0.5
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.429,0.0100072751314,7.95,0.375145066099,0.0108068577553,7.01471165895,46.33,AR,3.5,1000,2000,30,0.5
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.433666666667,0.0133457858517,10.3,0.39088092595,0.0150037823177,8.95587415218,58.16,AR,3.5,1000,2000,30,0.5
7,Lee et al. + theory (selected),100,0.179666666667,0.00854913900798,0.36,0.057996031746,0.00953223895313,0.52375387907,13.73,AR,3.5,1000,2000,30,0.5
8,"Lee et al. + theory, aggressive (selected)",100,0.255666666667,0.0123563299118,0.9,0.0869066613211,0.0104601866845,0.477647886276,30.9,AR,3.5,1000,2000,30,0.5
9,Lee et al. + 1SE (selected),100,0.204666666667,0.014023947772,0.53,0.0579841131091,0.00925054927057,0.487348022461,39.06,AR,3.5,1000,2000,30,0.5
10,Lee et al. + CV (selected),100,0.0303333333333,0.00868069377668,1.87,0.0520530449788,0.0181352313514,0.551117870808,123.39,AR,3.5,1000,2000,30,0.5
0,ModelX Knockoffs with Sigma (full),100,0.595666666667,0.0207345926734,4.77,0.163699150326,0.0129792269615,32.0973610163,22.64,AR,4.0,1000,2000,30,0.0
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.412,0.00882571998952,0.92,0.0688996075304,0.00758918817894,2.83767995358,19.36,AR,4.0,1000,2000,30,0.0
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.557,0.0106384522684,2.87,0.143361930314,0.00784351643106,6.47785395384,45.06,AR,4.0,1000,2000,30,0.0
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.592666666667,0.0100618089825,5.71,0.226396646835,0.0112087821998,13.3353783679,86.02,AR,4.0,1000,2000,30,0.0
4,"Randomized LASSO + theory, smaller noise (full)",100,0.4,0.00773160900316,1.31,0.0954324849557,0.00773716226652,3.27634974241,19.3,AR,4.0,1000,2000,30,0.0
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.579333333333,0.00867666090408,6.76,0.271524340837,0.0097569512562,7.36775419235,45.13,AR,4.0,1000,2000,30,0.0
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.68,0.0108423039782,17.02,0.424841393254,0.0123444008038,14.8274683166,85.53,AR,4.0,1000,2000,30,0.0
7,Lee et al. + theory (selected),100,0.304333333333,0.00942402367475,0.17,0.0169131701632,0.00384491802458,0.590392603874,16.09,AR,4.0,1000,2000,30,0.0
8,"Lee et al. + theory, aggressive (selected)",100,0.433333333333,0.01576916823,0.76,0.0518803882867,0.00721125587533,0.53349830389,31.49,AR,4.0,1000,2000,30,0.0
9,Lee et al. + 1SE (selected),100,0.341333333333,0.0207692079772,1.58,0.0756228330691,0.0133840602254,0.546644096375,54.98,AR,4.0,1000,2000,30,0.0
10,Lee et al. + CV (selected),100,0.0606666666667,0.014394288991,4.71,0.101240953358,0.0254310763817,0.623101263046,148.73,AR,4.0,1000,2000,30,0.0
0,ModelX Knockoffs with Sigma (full),100,0.618333333333,0.016447728651,5.52,0.192122458217,0.0124870029911,29.686852963,24.07,AR,4.0,1000,2000,30,0.25
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.391333333333,0.00932880842695,0.97,0.0728023969495,0.00798175723602,2.67303176403,19.55,AR,4.0,1000,2000,30,0.25
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.541,0.0108305637485,3.06,0.153276318142,0.00794865631477,6.21242563963,46.3,AR,4.0,1000,2000,30,0.25
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.576666666667,0.0121974496424,5.79,0.229635448527,0.0115495458962,12.6155898881,87.04,AR,4.0,1000,2000,30,0.25
4,"Randomized LASSO + theory, smaller noise (full)",100,0.39,0.00963212218453,1.21,0.0911512376083,0.00815032133653,3.25386044979,20.13,AR,4.0,1000,2000,30,0.25
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.585666666667,0.0104057142421,7.08,0.282713326555,0.00886424501582,6.97382992268,45.36,AR,4.0,1000,2000,30,0.25
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.663,0.0114881097952,17.7,0.430939457445,0.0137555394926,14.3315268803,87.3,AR,4.0,1000,2000,30,0.25
7,Lee et al. + theory (selected),100,0.299333333333,0.0102521542452,0.24,0.0279027916528,0.00679131564244,0.554653449059,16.1,AR,4.0,1000,2000,30,0.25
8,"Lee et al. + theory, aggressive (selected)",100,0.427333333333,0.0147977475763,0.99,0.0686571075833,0.00911327005988,0.501580872536,31.96,AR,4.0,1000,2000,30,0.25
9,Lee et al. + 1SE (selected),100,0.34,0.0201990098767,2.86,0.115642357435,0.0176555757793,0.51448513031,55.87,AR,4.0,1000,2000,30,0.25
10,Lee et al. + CV (selected),100,0.0486666666667,0.0113178325369,4.32,0.0770140372145,0.0223457165419,0.594631848335,145.73,AR,4.0,1000,2000,30,0.25
0,ModelX Knockoffs with Sigma (full),100,0.471,0.0211221579285,3.42,0.142128141668,0.0127329702724,30.2687410355,17.55,AR,4.0,1000,2000,30,0.5
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.406333333333,0.0104742541501,1.61,0.116406789418,0.00895871051876,2.86029340267,21.54,AR,4.0,1000,2000,30,0.5
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.504333333333,0.0113004916314,3.29,0.170610107128,0.00897786659349,6.26130417824,47.52,AR,4.0,1000,2000,30,0.5
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.501666666667,0.0108768357327,5.36,0.248737516048,0.0116220420356,12.3086195993,86.94,AR,4.0,1000,2000,30,0.5
4,"Randomized LASSO + theory, smaller noise (full)",100,0.413666666667,0.00931062714202,2.36,0.156442251892,0.00936464126883,3.39925412416,22.21,AR,4.0,1000,2000,30,0.5
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.564,0.00994071314231,7.77,0.306719517025,0.00922135051215,7.00492348433,46.38,AR,4.0,1000,2000,30,0.5
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.637666666667,0.011466424416,17.71,0.448768274064,0.0121238235644,13.8771233559,86.45,AR,4.0,1000,2000,30,0.5
7,Lee et al. + theory (selected),100,0.297,0.0111364766022,0.44,0.0428311410811,0.00719053713066,0.557074525356,17.65,AR,4.0,1000,2000,30,0.5
8,"Lee et al. + theory, aggressive (selected)",100,0.415333333333,0.0154230707419,1.29,0.0932641760656,0.00952475416977,0.501075863838,32.42,AR,4.0,1000,2000,30,0.5
9,Lee et al. + 1SE (selected),100,0.302333333333,0.0205656401689,1.62,0.0897871463886,0.0128957189139,0.518786559105,55.34,AR,4.0,1000,2000,30,0.5
10,Lee et al. + CV (selected),100,0.042,0.010899745155,2.67,0.0697344265448,0.020663114582,0.60407542944,144.13,AR,4.0,1000,2000,30,0.5
0,ModelX Knockoffs with Sigma (full),100,0.767666666667,0.0104610919337,4.48,0.144831017586,0.0103330848582,33.1091040587,27.51,AR,4.5,1000,2000,30,0.0
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.537,0.009284335673,0.82,0.0464499562768,0.00587169495376,3.26158587694,22.22,AR,4.5,1000,2000,30,0.0
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.707666666667,0.00925988960817,3.11,0.124711350948,0.00696605656302,6.38612940311,44.09,AR,4.5,1000,2000,30,0.0
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.769666666667,0.00856472092041,7.64,0.235982575873,0.00978088618706,16.2716105151,99.85,AR,4.5,1000,2000,30,0.0
4,"Randomized LASSO + theory, smaller noise (full)",100,0.538333333333,0.00887411967465,1.15,0.0638420138752,0.0062363178821,3.90086345673,22.05,AR,4.5,1000,2000,30,0.0
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.728333333333,0.00877338145883,5.86,0.205042817294,0.00780285176401,7.56282972336,44.03,AR,4.5,1000,2000,30,0.0
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.824333333333,0.00837794724261,21.16,0.436738938064,0.0109642843877,17.9804680037,98.18,AR,4.5,1000,2000,30,0.0
7,Lee et al. + theory (selected),100,0.458,0.0110314701347,0.16,0.0120407874289,0.00335596505962,0.624174029827,19.42,AR,4.5,1000,2000,30,0.0
8,"Lee et al. + theory, aggressive (selected)",100,0.639333333333,0.0134278317932,0.88,0.0435511164791,0.00566645043231,0.566318366528,32.01,AR,4.5,1000,2000,30,0.0
9,Lee et al. + 1SE (selected),100,0.472333333333,0.0256733973859,1.66,0.0794374017272,0.0110983990374,0.579866814613,59.77,AR,4.5,1000,2000,30,0.0
10,Lee et al. + CV (selected),100,0.043,0.0129554364393,3.47,0.0634832774752,0.0209255761382,0.660738565922,153.49,AR,4.5,1000,2000,30,0.0
0,ModelX Knockoffs with Sigma (full),100,0.753666666667,0.00995428439305,5.52,0.172411439717,0.0111611753351,27.5742857409,28.13,AR,4.5,1000,2000,30,0.25
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.529666666667,0.00832526275862,1.32,0.0752301857118,0.00547690979072,2.87371088028,22.9,AR,4.5,1000,2000,30,0.25
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.704666666667,0.00873078843328,3.19,0.127821535916,0.00589488255091,5.69016997814,45.69,AR,4.5,1000,2000,30,0.25
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.738666666667,0.0091374686502,7.59,0.24360562859,0.00960128020158,14.3402982283,103.57,AR,4.5,1000,2000,30,0.25
4,"Randomized LASSO + theory, smaller noise (full)",100,0.521333333333,0.00837350318299,1.76,0.0980457859739,0.00634178757814,3.46521468401,22.89,AR,4.5,1000,2000,30,0.25
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.710333333333,0.00864991971703,6.95,0.241267576568,0.00758668396165,6.59356524706,45.45,AR,4.5,1000,2000,30,0.25
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.811666666667,0.00800520663902,21.59,0.448957007218,0.010552052427,16.0282124114,103.53,AR,4.5,1000,2000,30,0.25
7,Lee et al. + theory (selected),100,0.423666666667,0.0118161377409,0.25,0.0199609042918,0.00373271510128,0.533667080402,19.91,AR,4.5,1000,2000,30,0.25
8,"Lee et al. + theory, aggressive (selected)",100,0.599,0.0158776922477,1.15,0.0612809280767,0.0053676222639,0.479723010063,32.92,AR,4.5,1000,2000,30,0.25
9,Lee et al. + 1SE (selected),100,0.423,0.0228409719583,1.63,0.0809425025658,0.0112727426443,0.492614769936,63.58,AR,4.5,1000,2000,30,0.25
10,Lee et al. + CV (selected),100,0.041,0.01141008326,2.77,0.0586559582242,0.0202454473824,0.569558897018,153.29,AR,4.5,1000,2000,30,0.25
0,ModelX Knockoffs with Sigma (full),100,0.858,0.00866179350173,6.27,0.17793089109,0.0104747704233,29.9040285659,32.01,AR,5.0,1000,2000,30,0.0
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.640666666667,0.00857101057182,1.0,0.0486957185617,0.00509012323934,3.2332354641,24.13,AR,5.0,1000,2000,30,0.0
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.814333333333,0.006980210121,3.26,0.11428825591,0.00538620544397,5.89412678242,44.27,AR,5.0,1000,2000,30,0.0
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.864,0.00753775681339,8.31,0.23325789753,0.00891836227694,17.002402668,114.95,AR,5.0,1000,2000,30,0.0
4,"Randomized LASSO + theory, smaller noise (full)",100,0.614333333333,0.00937200322474,1.33,0.0662423672295,0.00503999970332,3.63960743189,23.44,AR,5.0,1000,2000,30,0.0
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.802666666667,0.00740390287469,6.35,0.205100051083,0.00722882041825,6.65541710854,44.23,AR,5.0,1000,2000,30,0.0
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.902,0.0061611687203,26.58,0.4799608719,0.00856484729574,19.2138795424,116.38,AR,5.0,1000,2000,30,0.0
7,Lee et al. + theory (selected),100,0.560333333333,0.00875207911807,0.18,0.0104533085164,0.00269276092303,0.57752177,21.78,AR,5.0,1000,2000,30,0.0
8,"Lee et al. + theory, aggressive (selected)",100,0.771,0.0116681427638,0.91,0.0387097444049,0.00457980550776,0.515575032234,32.22,AR,5.0,1000,2000,30,0.0
9,Lee et al. + 1SE (selected),100,0.503333333333,0.0267062206653,2.23,0.0958681385985,0.012266687073,0.536493141651,67.72,AR,5.0,1000,2000,30,0.0
10,Lee et al. + CV (selected),100,0.091,0.0174982856303,6.12,0.116732470911,0.0262128101954,0.621400613785,160.15,AR,5.0,1000,2000,30,0.0
0,ModelX Knockoffs with Sigma (full),100,0.856666666667,0.00920748487796,6.05,0.170572123528,0.0105109318842,27.4949753094,31.75,AR,5.0,1000,2000,30,0.25
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.639,0.00861594129764,0.98,0.0479393112967,0.00445606912378,3.08139251471,24.28,AR,5.0,1000,2000,30,0.25
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.804333333333,0.00824156134075,3.25,0.115773103381,0.00590531932202,5.59985949516,44.42,AR,5.0,1000,2000,30,0.25
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.864333333333,0.00776394802204,8.44,0.234347327904,0.00919742733097,16.0241237974,113.58,AR,5.0,1000,2000,30,0.25
4,"Randomized LASSO + theory, smaller noise (full)",100,0.61,0.00826639784509,1.44,0.0698718440251,0.00581114627338,3.55379780054,23.82,AR,5.0,1000,2000,30,0.25
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.802,0.00802523796809,6.31,0.203199096136,0.0068694610129,6.41489694595,44.04,AR,5.0,1000,2000,30,0.25
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.901666666667,0.00620707481651,24.91,0.46191394437,0.00934344869076,17.9561292553,113.45,AR,5.0,1000,2000,30,0.25
7,Lee et al. + theory (selected),100,0.548666666667,0.0119946284274,0.16,0.0106583339112,0.00295941364268,0.542351429462,21.73,AR,5.0,1000,2000,30,0.25
8,"Lee et al. + theory, aggressive (selected)",100,0.732333333333,0.0144795257749,0.73,0.0333384311894,0.00447327126503,0.481223063469,32.55,AR,5.0,1000,2000,30,0.25
9,Lee et al. + 1SE (selected),100,0.499,0.0238721362448,2.42,0.096272291101,0.0143378851811,0.501216433048,66.14,AR,5.0,1000,2000,30,0.25
10,Lee et al. + CV (selected),100,0.0716666666667,0.0154874501165,3.82,0.0834674195681,0.0227381097303,0.576737048626,152.35,AR,5.0,1000,2000,30,0.25
